##CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

######EVENTS
#Camelot Event Chain
anl.title.001;The Quest for Camelot;;;;;;;;;x
EVTDESCanl.001;One day, as you walk the castle grounds, you are stopped by an old friend. After inviting him into the castle, you both spend the day reminiscing about the days of yore. Eventually, the topic of King Arthur and the majestic Camelot comes up. Your friend tells you of an old crone that he met in a nearby village a few months ago who gave him a crude map on faded yellow paper. After a close examination, you recognize the first landmark on the map to be a nearby hill. Together, you and your friend make plans to leave on a quest for the famed Camelot as soon as preparations have been completed.;;;;;;;;;x
EVTOPTAanl.001;Embark on a quest for the mythical castle!;;;;;;;;;x
EVTOPTAanl.001.tooltip;Begin preparations for the long journey. You have reason to believe that this quest will take a very long time and cost a lot of money...;;;;;;;;;x
EVTOPTBanl.001;I don't have time for this.;;;;;;;;;x
EVTOPTBanl.001.tooltip;Disregard the news and forget about the search for Camelot.;;;;;;;;;x

anl.title.002;The Arthurian Scholarship;;;;;;;;;x
EVTDESCanl.002;In order to prepare for the possibly long and arduous quest, you gather a group of scholars to teach you about chivalry. They describe the common chivalric virtues: bravery, chastity, faith, honour, honesty, humility, generosity, and loyalty. The group describes how it will be important to keep these virtues in mind on your journey. After the meeting, your friend informs you that he will not be able to join you since he has to tend to his sick mother. However, he wishes you luck on your journey and hands you a small rock with an engraving of a sword.;;;;;;;;;x
EVTOPTAanl.002;Thank you, my friend. I will keep it close.;;;;;;;;;x
EVTOPTAanl.002.tooltip;Begin preparing supplies for the journey.;;;;;;;;;x
EVTOPTBanl.002;Thank you, but you should keep this.;;;;;;;;;x
EVTOPTBanl.002.tooltip;Return the engraved stone and begin preparing supplies for the journey.;;;;;;;;;x

anl.title.003;Preparation of Supplies;;;;;;;;;x
EVTDESCanl.003;As time passes, you grow increasingly anxious to embark on your long journey. Soon, you may find the true Camelot! However, there are some preparations that must be made before departure. Your squire approaches you and asks for a list of supplies to purchase from the market.;;;;;;;;;x
EVTOPTAanl.003;Spend a small amount on supplies.;;;;;;;;;x
EVTOPTAanl.003.tooltip;Begin your journey.;;;;;;;;;x
EVTOPTBanl.003;Spend a moderate amount on supplies.;;;;;;;;;x
EVTOPTBanl.003.tooltip;Begin your journey.;;;;;;;;;x
EVTOPTCanl.003;Spend a large amount on supplies.;;;;;;;;;x
EVTOPTCanl.003.tooltip;Begin your journey.;;;;;;;;;x
EVTOPTDanl.003;We cannot afford to spend money on supplies.;;;;;;;;;x
EVTOPTDanl.003.tooltip;Begin your journey without any preparation.;;;;;;;;;x

anl.title.004;Embarking on the Journey;;;;;;;;;x
EVTDESCanl.004;After leaving in the early morning, you have made considerable progress on your journey. Soon, you encounter a village torn apart by famine and despair. A few beggars approach your horse and ask for some supplies.;;;;;;;;;x
EVTOPTAanl.004;Give the villagers some money.;;;;;;;;;x
EVTOPTAanl.004.tooltip;Continue on your journey.;;;;;;;;;x
EVTOPTBanl.004;Give the villagers some supplies.;;;;;;;;;x
EVTOPTBanl.004.tooltip;Give the villagers some of your supplies and continue on your journey.;;;;;;;;;x
EVTOPTCanl.004;Give the villagers your extra clothes.;;;;;;;;;x
EVTOPTCanl.004.tooltip;Give the villagers your extra clothes and continue on your journey.;;;;;;;;;x
EVTOPTDanl.004;Ignore the villagers.;;;;;;;;;x
EVTOPTDanl.004.tooltip;Ignore the villagers and continue on your journey.;;;;;;;;;x

anl.title.005;The Fair Maiden;;;;;;;;;x
EVTDESCanl.005;A few days later, you and your men are resting by a pond after a long day of traveling. Out of the nearby woods, a fair young maiden suddenly approaches. She appears to be lonely, and soon becomes acquainted with you and your soldiers. After the sun sets, the maiden sits down next to you and begins stroking your hair.;;;;;;;;;x
EVTOPTAanl.005;I should be resting.;;;;;;;;;x
EVTOPTAanl.005.tooltip;Ignore the fair maiden's advances and get some rest.;;;;;;;;;x
EVTOPTBanl.005;A little fun couldn't hurt...;;;;;;;;;x
EVTOPTBanl.005.tooltip;Follow the fair maiden home.;;;;;;;;;x
EVTOPTCanl.005;Unhand me, wretched temptress!;;;;;;;;;x
EVTOPTCanl.005.tooltip;Slay the fair maiden, just in case.;;;;;;;;;x

anl.title.0051;A Witch!;;;;;;;;;x
EVTDESCanl.0051;You raise your sword to attack the innocent fair maiden, only to be knocked backwards. Before you, the fair maiden catches on fire and begins to scream in fury. Fire blazes all around you, and you are soon consumed by the flames. Maybe it would have been better to leave her alone?;;;;;;;;;x
EVTOPTAanl.0051;What? Noooooooooo!;;;;;;;;;x

anl.title.006;The Heathen;;;;;;;;;x
